name	group	protein (g)	calcium (g)	sodium (g)	fiber (g)	vitaminc (g)	potassium (g)	carbohydrate (g)	sugars (g)	fat (g)	water (g)	calories	saturated (g)	monounsat (g)	polyunsat (g)	id
Babyfood, juice, orange	Baby Foods	0.6	0.012	0	0.1	0.0625	0.184	10.2	8.26	0.3	88.5	45	0.035	0.05	0.06	27946
Babyfood, juice, orange and apple and banana	Baby Foods	0.4	0.005	0	0.1	0.0321	0.134	11.5	10.03	0.1	87.6	47	0.016	0.007	0.027	27948
Babyfood, juice, orange-carrot	Baby Foods	0.5	0.016	0.01	0.4	0.0341	0.174	9.9	8.4	0.1	89.1	43	0.01	0.01	0.03	27952
Babyfood, macaroni and cheese, toddler	Baby Foods	3.5	0.102	0.112	0.5	0	0.018	11.2	0.79	2.6	81.7	82	1.53	0.7	0.17	27955
Babyfood, mashed cheddar potatoes and broccoli, toddlers	Baby Foods	1.13	0.038	0.176	0.9	0.0014	0.118	7.64	1.18	1.47	88.78	48	0.632	0.29	0.291	27956
Babyfood, meat, beef with vegetables, toddler	Baby Foods	3.5	0.011	0.026	0.5	0.0025	0.168	8.72	1.18	2.1	85.23	68	0.847	0.92	0.108	27957
Babyfood, meat, chicken sticks, junior	Baby Foods	14.6	0.073	0.408	0.2	0.0017	0.106	1.5	1.4	14.4	68.3	188	4.094	6.267	2.986	27960
Babyfood, meat, meat sticks, junior	Baby Foods	13.4	0.034	0.423	0.2	0.0024	0.114	1.1	0.8	14.6	69.5	184	5.82	6.48	1.59	27967
Babyfood, meat, turkey sticks, junior	Baby Foods	13.7	0.083	0.44	0.5	0.0015	0.12	1.4	1.4	14.2	69.8	188	4.143	4.671	3.615	27969
Babyfood, mixed fruit juice with low fat yogurt	Baby Foods	2.4	0.081	0.036	0.4	0.0339	0.137	14.68	10.8	0.8	81.5	76	0.517	0.219	0.022	27973
Babyfood, mixed fruit yogurt, strained	Baby Foods	0.8	0.028	0.016	0.4	0.0117	0.062	16.23	11.74	0.8	81.8	75	0.517	0.219	0.022	27974
Babyfood, oatmeal cereal with fruit, dry, instant, toddler	Baby Foods	10.5	0.286	0	7.8	0.0027	0.346	74.1	11.09	7.05	5.4	402	1.572	3.008	2.29	27975
Babyfood, peaches, dices, toddler	Baby Foods	0.5	0.006	0.009	0.8	0.0313	0.083	11.8	9.49	0.2	87.4	51	0.016	0.046	0.078	27976
Babyfood, pears, dices, toddler	Baby Foods	0.3	0.01	0.006	1.2	0.0313	0.051	13.6	8.66	0.1	85.6	57	0.01	0.043	0.046	27977
Babyfood, peas and brown rice	Baby Foods	3.4	0.014	0.006	2.5	0.003	0.093	11.49	2.88	0.5	84.1	64	0.1	0.18	0.18	27978
Babyfood, peas, dices, toddler	Baby Foods	3.9	0.021	0.048	3.9	0.006	0.081	10.3	4.13	0.8	84.6	64	0.14	0.07	0.37	27979
Babyfood, plums, bananas and rice, strained	Baby Foods	1.1	0.003	0	1.3	0.0123	0.265	12.7	9.3	0.3	85.6	57	0.06	0.12	0.07	27980
Babyfood, potatoes, toddler	Baby Foods	1	0.004	0.057	0.9	0.0105	0.11	11.73	0.91	0.1	86.8	52	0.015	0.002	0.025	27981
Babyfood, pretzels	Baby Foods	10.8	0.025	0.269	2.3	0.0038	0.137	82.2	3.08	2	4	397	0.316	0.188	0.833	27982
Babyfood, prunes, without vitamin c, strained	Baby Foods	1	0.021	0.001	2.7	0.0013	0.306	23.52	21.21	0.2	74.3	100	0.02	0.13	0.04	27983
Babyfood, ravioli, cheese filled, with tomato sauce	Baby Foods	3.6	0.054	0.282	0.1	0.0001	0.032	16.3	0.59	2.2	76.5	99	0.96	0.57	0.48	27984
Babyfood, rice and apples, dry	Baby Foods	6.7	0.85	0.016	3	0	0.41	86.89	3.22	2.4	3.2	396	0.503	0.615	0.92	27985
Babyfood, teething biscuits	Baby Foods	10.7	0.263	0.227	1.4	0.0091	0.323	76.4	12.65	4.2	6.4	391	1.206	1.702	0.998	27986
Babyfood, vegetable and brown rice, strained	Baby Foods	1.9	0.014	0.014	1.1	0.0003	0.135	12.1	2.39	1.5	84.1	69	0.14	0.97	0.32	27987
Babyfood, vegetable, butternut squash and corn	Baby Foods	2	0.032	0.005	2	0.0049	0.352	9.26	2.93	0.6	87.3	50	0.095	0.166	0.28	27988
Babyfood, vegetable, green beans and potatoes	Baby Foods	2.2	0.06	0.018	1.4	0.0011	0.148	9	2.35	1.9	86.2	62	1.117	0.539	0.132	27989
Babyfood, vegetables, beets, strained	Baby Foods	1.3	0.014	0.083	1.9	0.0024	0.182	7.7	6.09	0.1	90.1	34	0.016	0.019	0.036	27990
Babyfood, vegetables, carrots, junior	Baby Foods	0.8	0.023	0.049	1.7	0.0055	0.202	7.2	3.16	0.2	91	32	0.036	0.009	0.093	27991
Babyfood, vegetables, carrots, strained	Baby Foods	0.8	0.022	0.069	1.7	0.0057	0.196	6	3.64	0.1	92.3	26	0.018	0.004	0.047	27992
Babyfood, vegetables, corn, creamed, junior	Baby Foods	1.4	0.004	0.052	2.1	0.0022	0.081	16.25	1.48	0.4	81.4	65	0.074	0.116	0.178	27993
Babyfood, vegetables, corn, creamed, strained	Baby Foods	1.4	0.02	0.043	2.1	0.0021	0.09	14.1	1.23	0.4	83.6	57	0.076	0.116	0.176	27994
Babyfood, vegetables, garden vegetable, strained	Baby Foods	2.3	0.028	0.031	1.5	0.0057	0.168	6.8	2.57	0.2	90	32	0.035	0.011	0.09	27995
Babyfood, vegetables, green beans, junior	Baby Foods	1.2	0.065	0.005	1.9	0.0084	0.128	5.8	1.08	0.1	92.5	24	0.023	0.004	0.052	27996
Babyfood, vegetables, mix vegetables junior	Baby Foods	1.4	0.011	0.036	1.5	0.0025	0.17	8.2	1.78	0.4	89.4	36	0.079	0.025	0.186	27998
Babyfood, vegetables, mix vegetables strained	Baby Foods	1.2	0.013	0	1.5	0.0017	0.127	8.05	1.57	0.5	89.8	36	0.089	0.118	0.194	27999
Babyfood, vegetables, peas, strained	Baby Foods	3.27	0.018	0.005	2	0.0006	0.106	8.36	2.01	0.43	87.52	50	0.07	0.05	0.2	28000
Babyfood, vegetables, spinach, creamed, strained	Baby Foods	2.5	0.089	0.049	1.8	0.0087	0.191	5.7	2.33	1.3	89.6	37	0.702	0.332	0.133	28001
Babyfood, vegetables, squash, junior	Baby Foods	0.81	0.024	0.005	0.9	0.0003	0.185	5.73	3.24	0.2	92.66	24	0.02	0.02	0.04	28002
Babyfood, vegetables, squash, strained	Baby Foods	0.81	0.024	0.005	0.9	0.0003	0.185	5.73	3.37	0.2	92.66	28	0.02	0.02	0.04	28003
Babyfood, vegetables, sweet potatoes strained	Baby Foods	1.1	0.016	0.022	1.5	0.0099	0.263	13.2	4.05	0.1	84.8	57	0.021	0.004	0.044	28004
Babyfood, vegetables, sweet potatoes, junior	Baby Foods	1.1	0.016	0.018	1.5	0.0096	0.243	14	4.24	0.1	84.1	60	0.021	0.004	0.044	28005
Babyfood, yogurt, whole milk, with fruit, multigrain cereal and added DHA	Baby Foods	3.4	0.107	0.041	0.3	0.0014	0.149	13.22	11.46	3.53	79.16	98	1.84	0.916	0.367	28006
Babyfood, yogurt, whole milk, with fruit, multigrain cereal and added iron	Baby Foods	3.05	0.098	0.038	0.6	0.0036	0.143	13	11.46	3.08	80.21	92	1.582	0.74	0.405	28007
Child formula, ABBOTT NUTRITION, PEDIASURE, ready-to-feed, with iron and fiber (formerly ROSS)	Baby Foods	2.8	0.092	0.036	0.5	0.0096	0.124	11.28	7.6	4.7	80.47	99	1.256	1.936	1.067	28009
Gerber graduates Fruit Strips Real Fruit Bars	Baby Foods	0.82	0.018	0.014	7.8	0.1799	0.312	76.61	68.65	2.24	19.09	330	0.361	0.091	0.658	28013
Zwieback	Baby Foods	10.1	0.02	0.227	2.5	0.0053	0.305	74.2	12.5	9.7	4.5	426	2.525	4.244	2.073	28107
Mayonnaise, made with tofu	Fats and Oils	5.95	0.053	0.773	1.1	0	0.066	3.06	0.85	31.79	56.33	322	2.921	5.246	16.59	28173
Salad Dressing, mayonnaise, light, SMART BALANCE, Omega Plus light	Fats and Oils	1.53	0.013	0.848	0.2	0	0.063	9.39	5.38	34.18	52.44	333	3.288	16.662	11.776	28244
Salad Dressing, mayonnaise-like, fat-free	Fats and Oils	0.2	0.006	0.788	1.9	0	0.049	15.5	10.3	2.7	78.7	84	0.6	1.887	0.063	28245
Salad dressing, bacon and tomato	Fats and Oils	1.8	0.004	0.905	0.2	0.0088	0.108	2	2	35	58.7	326	5.435	8.415	19.584	28251
Salad dressing, blue or roquefort cheese dressing, commercial, regular	Fats and Oils	1.37	0.037	1.041	0.4	0.0007	0.088	4.62	3.48	51.1	39.71	476	8.275	13.279	27.545	28252
Salad dressing, blue or roquefort cheese dressing, fat-free	Fats and Oils	1.52	0.051	0.814	1.8	0.0005	0.194	25.6	7.44	1.01	68	115	0.45	0.441	0.069	28253
Salad dressing, buttermilk, lite	Fats and Oils	1.25	0.04	1.12	1.1	0.0006	0.132	21.33	3.77	12.42	62.04	202	1.25	2.794	4.213	28256
Salad dressing, caesar dressing, regular	Fats and Oils	2.17	0.048	1.209	0.5	0.0003	0.029	3.3	2.81	57.85	34.3	542	8.789	13.504	32.857	28257
Salad dressing, caesar, low calorie	Fats and Oils	0.3	0.024	1.148	0.1	0	0.029	18.6	16.32	4.4	73.2	110	0.703	1.124	2.368	28258
Salad dressing, coleslaw	Fats and Oils	0.9	0.014	0.71	0.1	0	0.009	23.8	20.11	33.4	39.9	390	4.9	9	18	28259
Salad dressing, french dressing, fat-free	Fats and Oils	0.2	0.005	0.853	2.2	0	0.084	32.14	16.45	0.27	65.04	132	0.037	0.141	0.062	28262
Salad dressing, french dressing, reduced fat	Fats and Oils	0.58	0.011	0.838	1.5	0.0048	0.107	31.22	16.86	11.52	54.28	222	0.842	4.518	3.852	28264
Salad dressing, french dressing, reduced fat, without salt	Fats and Oils	0.58	0.011	0.03	1.1	0	0.107	29.28	28.45	13.46	54.28	233	1.099	5.898	5.029	28265
Salad dressing, green goddess, regular	Fats and Oils	1.9	0.034	0.867	0.1	0.0002	0.058	7.36	6.67	43.33	45.03	427	5.978	9.423	23.165	28268
Salad dressing, honey mustard dressing, reduced calorie	Fats and Oils	0.98	0.067	0.9	0.8	0.0004	0.055	29.27	18.33	10	57.19	207	0.833	5.573	3.152	28271
Salad dressing, italian dressing, fat-free	Fats and Oils	0.97	0.03	1.129	0.6	0.0004	0.102	8.75	8.85	0.87	85.95	47	0.295	0.235	0.192	28274
Salad dressing, italian dressing, reduced calorie	Fats and Oils	0.3	0.006	1.074	0.2	0.0004	0.033	6.7	1.94	20	70	200	2.88	4.66	11.58	28275
Salad dressing, ranch dressing, commercial, regular	Fats and Oils	1.03	0.031	1.094	0.7	0.0034	0.062	6.69	2.45	51.39	38.18	484	8.019	11.394	28.329	28288
Salad dressing, ranch dressing, reduced fat	Fats and Oils	1.25	0.04	1.12	1.1	0.0006	0.132	21.33	3.77	12.42	62.04	196	1.25	2.794	4.213	28290
Salad dressing, russian dressing	Fats and Oils	0.69	0.013	1.133	0.7	0.006	0.173	31.9	17.68	26.18	38.53	355	2.39	5.928	14.83	28291
Salad dressing, russian dressing, low calorie	Fats and Oils	0.5	0.019	0.868	0.3	0.006	0.157	27.6	21.87	4	65	141	0.6	0.9	2.3	28292
Salad dressing, sesame seed dressing, regular	Fats and Oils	3.1	0.019	1	1	0	0.157	8.6	8.32	45.2	39.2	443	6.2	11.9	25.1	28293
Salad dressing, thousand island dressing, fat-free	Fats and Oils	0.55	0.011	0.788	3.3	0	0.122	29.27	16.83	1.45	66.14	132	0.198	0.342	0.63	28296
Salad dressing, thousand island dressing, reduced fat	Fats and Oils	0.83	0.027	0.955	1.2	0.0015	0.202	24.06	17.31	11.32	60.73	195	0.746	6.468	2.692	28297
Salad dressing, thousand island, commercial, regular	Fats and Oils	1.09	0.017	0.863	0.8	0	0.107	14.64	15.18	35.06	46.51	370	5.092	7.881	18.22	28298
Sandwich spread, with chopped pickle, regular, unspecified oils	Fats and Oils	0.9	0.014	1	0.4	0	0.035	22.4	15.18	34	40.8	389	5.1	7.4	20	28299
Chicken breast tenders, cooked, conventional oven	Poultry Products	15.78	0.018	0.457	1.3	0	0.218	17	0.41	17.69	47.76	293	3.786	6.787	3.038	28323
Chicken breast tenders, uncooked	Poultry Products	14.73	0.019	0.451	1.1	0.0008	0.214	15.01	0.37	15.75	52.74	263	3.26	6.48	3.34	28325
Chicken, wing, frozen, glazed, barbecue flavored	Poultry Products	19.67	0.028	0.615	0.6	0	0.19	3.34	2.04	12.67	61.79	211	3.321	5.766	2.359	28490
Chicken, wing, frozen, glazed, barbecue flavored, heated (conventional oven)	Poultry Products	22.24	0.028	0.559	0.5	0	0.218	3.36	1.94	14.87	57.25	242	3.966	6.737	2.838	28491
Chicken, wing, frozen, glazed, barbecue flavored, heated (microwave)	Poultry Products	25.34	0.038	0.837	0.9	0.0005	0.254	3.84	2.1	13.9	53.89	248	3.655	6.297	2.599	28492
Turkey patties, breaded, battered, fried	Poultry Products	14	0.014	0.8	0.5	0	0.275	15.7	0.32	18	49.7	283	4.69	7.47	4.71	28572
Adobo fresco	Soups, Sauces, and Gravies	2	0.123	17.152	1.3	0.0058	0.187	18.6	2.03	20.9	22.1	271	2.91	14.963	2.044	28704
CAMPBELL Soup Company, CAMPBELL'S CHUNKY Soups, HEALTHY REQUEST Microwavable Bowls, Chicken Noodle Soup	Soups, Sauces, and Gravies	2.86	0.008	0.167	0.4	0.001	0.286	6.94	0.41	1.02	88.5	49	0.408	0.408	0.204	28737
CAMPBELL Soup Company, CAMPBELL'S CHUNKY Soups, HEALTHY REQUEST Microwavable Bowls, Grilled Chicken & Sausage Gumbo Soup	Soups, Sauces, and Gravies	2.86	0.016	0.167	0.8	0.0024	0.249	7.35	1.63	1.22	86.8	53	0.408	0.612	0.204	28738
CAMPBELL Soup Company, CAMPBELL'S CHUNKY Soups, HEALTHY REQUEST New England Clam Chowder	Soups, Sauces, and Gravies	2.04	0.041	0.167	0.8	0	0.408	8.16	0.82	1.22	81.1	53	0.408	0.408	0.408	28739
CAMPBELL Soup Company, CAMPBELL'S Red and White, 25% Less Sodium Chicken Noodle Soup, condensed	Soups, Sauces, and Gravies	2.38	0	0.524	0.8	0	0.071	6.35	0.79	1.59	87.8	48	0.397	0.794	0.397	28783
CAMPBELL Soup Company, CAMPBELL'S Red and White, 25% Less Sodium Cream of Mushroom Soup, condensed	Soups, Sauces, and Gravies	1.61	0	0.524	1.6	0	0.105	6.45	0.81	6.45	84.2	89	0.806	2.419	3.226	28784
CAMPBELL Soup Company, CAMPBELL'S Red and White, 98% Fat Free Cream of Celery Soup, condensed	Soups, Sauces, and Gravies	0.81	0.016	0.387	1.6	0	0.484	7.26	0.81	2.42	85.9	56	0.806	0.403	1.21	28788
CAMPBELL Soup Company, CAMPBELL'S Red and White, 98% Fat Free Cream of Chicken Soup, condensed	Soups, Sauces, and Gravies	1.61	0	0.387	0.8	0	0.444	8.06	0.81	2.02	85.9	56	0.806	0.806	0.403	28789
CAMPBELL Soup Company, CAMPBELL'S Red and White, Bean with Bacon Soup, condensed	Soups, Sauces, and Gravies	6.25	0.047	0.672	6.3	0.0028	0.375	19.53	3.13	2.34	70.2	125	1.172	0.781	0.391	28792
CAMPBELL Soup Company, CAMPBELL'S Red and White, Beef Noodle Soup, condensed	Soups, Sauces, and Gravies	3.17	0	0.651	0.8	0	0.063	6.35	0.79	1.59	85.2	56	0.397	0.397	0.794	28795
CAMPBELL Soup Company, CAMPBELL'S Red and White, Cheddar Cheese Soup, condensed	Soups, Sauces, and Gravies	1.61	0.032	0.524	0.8	0	0.452	8.87	1.61	4.03	83.2	81	1.613	0.806	1.21	28799
CAMPBELL Soup Company, CAMPBELL'S Red and White, Chicken Alphabet Soup, condensed	Soups, Sauces, and Gravies	2.38	0	0.381	0.8	0.001	0.659	9.52	0.79	1.19	84.4	56	0.397	0.397	0.397	28800
CAMPBELL Soup Company, CAMPBELL'S Red and White, Chicken NOODLEO's Soup, condensed	Soups, Sauces, and Gravies	2.38	0	0.381	0.8	0	0.429	11.9	1.59	1.98	83	71	0.794	0.794	0.397	28804
CAMPBELL Soup Company, CAMPBELL'S Red and White, Chicken and Stars Soup, condensed	Soups, Sauces, and Gravies	2.38	0	0.381	0.8	0	0.444	8.73	0.79	1.59	86	56	0.397	0.794	0.397	28809
CAMPBELL Soup Company, CAMPBELL'S Red and White, Cream of Asparagus Soup, condensed	Soups, Sauces, and Gravies	1.61	0	0.669	2.4	0	0.056	7.26	1.61	5.65	83.9	89	1.613	0.806	3.226	28811
CAMPBELL Soup Company, CAMPBELL'S Red and White, Cream of Broccoli Soup, condensed	Soups, Sauces, and Gravies	1.61	0.016	0.605	0.8	0.001	0.077	9.68	2.42	4.03	84.8	73	1.21	0.806	2.016	28812
CAMPBELL Soup Company, CAMPBELL'S Red and White, Cream of Celery Soup, condensed	Soups, Sauces, and Gravies	0.81	0.016	0.516	2.4	0	0.46	7.26	0.81	4.84	84.4	73	0.806	2.823	1.21	28813
CAMPBELL Soup Company, CAMPBELL'S Red and White, Cream of Chicken Soup, condensed	Soups, Sauces, and Gravies	1.61	0	0.702	1.6	0	0.048	8.06	0.81	6.45	83.8	97	2.016	2.823	1.21	28814
CAMPBELL Soup Company, CAMPBELL'S Red and White, Cream of Mushroom with Roasted Garlic Soup, condensed	Soups, Sauces, and Gravies	1.61	0.016	0.387	1.6	0	0.484	8.06	0.81	2.02	86.2	56	0.806	0.403	0.806	28817
CAMPBELL Soup Company, CAMPBELL'S Red and White, Cream of Onion Soup, condensed	Soups, Sauces, and Gravies	0.81	0	0.645	2.4	0	0.048	8.06	3.23	4.84	82.2	81	1.21	1.21	2.419	28818
CAMPBELL Soup Company, CAMPBELL'S Red and White, Cream of Potato Soup, condensed	Soups, Sauces, and Gravies	1.61	0	0.484	1.6	0	0.548	12.1	0.81	1.61	83	73	0.806	0.403	0.403	28819
CAMPBELL Soup Company, CAMPBELL'S Red and White, Creamy Chicken Noodle Soup, condensed	Soups, Sauces, and Gravies	3.23	0.016	0.702	3.2	0	0.056	8.87	0.81	5.65	79.1	97	1.21	1.21	2.419	28821
CAMPBELL Soup Company, CAMPBELL'S Red and White, Creamy Chicken Verde Soup, condensed	Soups, Sauces, and Gravies	1.61	0.016	0.629	2.4	0	0	8.06	0.81	5.65	82.2	89	2.016	2.016	1.613	28822
CAMPBELL Soup Company, CAMPBELL'S Red and White, DOUBLE NOODLE in Chicken Broth Soup, condensed	Soups, Sauces, and Gravies	2.38	0	0.381	0.8	0	0.667	15.87	0.79	1.59	79.5	87	0.397	0.794	0.397	28826
CAMPBELL Soup Company, CAMPBELL'S Red and White, Fiesta Nacho Cheese Soup, condensed	Soups, Sauces, and Gravies	2.42	0.065	0.637	0.8	0	0.081	8.06	1.61	6.45	80.3	97	2.419	1.613	1.613	28827
CAMPBELL Soup Company, CAMPBELL'S Red and White, GOLDFISH Pasta with Chicken in Chicken Broth, condensed	Soups, Sauces, and Gravies	2.38	0	0.381	0.8	0	0.429	9.52	0.79	1.59	85.7	63	0.397	0.794	0.397	28829
CAMPBELL Soup Company, CAMPBELL'S Red and White, GOLDFISH Pasta with Meatballs in Chicken Broth Soup, condensed	Soups, Sauces, and Gravies	3.17	0	0.381	0.8	0	0.381	8.73	0.79	2.38	84	71	0.794	0.794	0.397	28830
CAMPBELL Soup Company, CAMPBELL'S Red and White, Golden Mushroom Soup, condensed	Soups, Sauces, and Gravies	1.61	0	0.524	0.8	0	0.548	8.06	0.81	2.82	87.2	65	0.806	0.403	1.21	28831
CAMPBELL Soup Company, CAMPBELL'S Red and White, Green Pea Soup, condensed	Soups, Sauces, and Gravies	7.03	0.016	0.68	3.1	0	0.305	21.88	4.69	2.34	66.8	141	0.781	0.391	0.781	28832
CAMPBELL Soup Company, CAMPBELL'S Red and White, Homestyle Chicken Noodle Soup, condensed	Soups, Sauces, and Gravies	3.17	0	0.516	0.8	0	0.508	7.94	0.79	1.59	86.6	56	0.397	0.794	0.397	28834
CAMPBELL Soup Company, CAMPBELL'S Red and White, Mega Noodle in Chicken Broth, condensed	Soups, Sauces, and Gravies	2.38	0	0.381	0.8	0	0.437	11.9	0.79	1.59	82.8	71	0.397	0.794	0.397	28838
CAMPBELL Soup Company, CAMPBELL'S Red and White, SHREK shaped pasta with Chicken in Chicken Broth Soup, condensed	Soups, Sauces, and Gravies	2.38	0	0.381	0.8	0	0.444	9.52	0.79	1.59	85.7	63	0.397	0.794	0.397	28844
CAMPBELL Soup Company, CAMPBELL'S Red and White, Split Pea with Ham and Bacon Soup, condensed	Soups, Sauces, and Gravies	7.81	0.016	0.664	3.1	0	0.352	23.44	3.13	1.56	66	141	0.391	0.781	0.391	28848
CAMPBELL Soup Company, CAMPBELL'S Red and White, Tomato Bisque, condensed	Soups, Sauces, and Gravies	1.59	0.032	0.698	0.8	0.0048	0	18.25	11.9	2.78	75.4	103	1.19	0.397	0.794	28849
CAMPBELL Soup Company, CAMPBELL'S SELECT Gold Label Soups, Southwestern Corn Chowder	Soups, Sauces, and Gravies	1.22	0.008	0.253	0.8	0.0005	0.09	10.61	2.86	1.22	84.9	61	0.204	0.408	0.612	28859
CAMPBELL Soup Company, CAMPBELL'S SELECT HARVEST Microwaveable Bowls, 98% Fat Free New England Clam Chowder	Soups, Sauces, and Gravies	2.45	0.008	0.196	0.4	0	0	6.94	0.41	1.02	88.9	45	0.408	0.204	0.408	28860
CAMPBELL Soup Company, CAMPBELL'S SELECT Microwaveable Bowls, Chicken with Egg Noodles Soup	Soups, Sauces, and Gravies	3.27	0.008	0.196	0.4	0	0	4.9	0.82	1.63	89.8	49	0.408	0.816	0.408	28861
CAMPBELL Soup Company, CAMPBELL'S SELECT Microwaveable Bowls, HEALTHY REQUEST Mexican Style Tortilla	Soups, Sauces, and Gravies	3.27	0.016	0.167	0.8	0	0.314	8.16	1.22	0.82	87.7	53	0.204	0.204	0.204	28863
CAMPBELL Soup Company, CAMPBELL'S SELECT Soups, HEALTHY REQUEST Chicken with Egg Noodles	Soups, Sauces, and Gravies	2.86	0.008	0.196	0.8	0	0.286	5.31	0.41	1.02	89.9	41	0.408	0.408	0.204	28892
CAMPBELL Soup Company, CAMPBELL's Red and White, Souper Shapes Soup - Cars, condensed	Soups, Sauces, and Gravies	3.17	0	0.381	0.8	0	0.444	8.73	0.79	1.59	85.7	63	0.397	0.794	0.397	28906
CAMPBELL Soup Company, HEALTHY REQUEST, Chicken Noodle Soup, condensed	Soups, Sauces, and Gravies	2.38	0	0.325	0.8	0	0.357	6.35	0.79	1.59	88.2	48	0.397	0.397	0.397	28912
CAMPBELL Soup Company, HEALTHY REQUEST, Cream of Celery Soup, condensed	Soups, Sauces, and Gravies	0.81	0.081	0.331	0.8	0	0.484	9.68	1.61	1.61	86.5	56	0.403	0.403	0.806	28914
CAMPBELL Soup Company, HEALTHY REQUEST, Cream of Chicken Soup, condensed	Soups, Sauces, and Gravies	1.61	0	0.331	0.8	0	0.605	9.68	5.65	2.02	85.6	65	0.806	0.403	0.806	28915
CAMPBELL Soup Company, HEALTHY REQUEST, Cream of Mushroom Soup, condensed	Soups, Sauces, and Gravies	1.61	0.081	0.331	0.8	0	0.629	8.06	1.61	1.61	87.1	56	0.403	0.403	0.806	28916
CAMPBELL Soup Company, HEALTHY REQUEST, Homestyle Chicken Noodle Soup, condensed	Soups, Sauces, and Gravies	2.38	0	0.325	0.8	0	0.349	7.94	0.79	1.19	88.6	48	0.397	0.397	0.397	28917
CAMPBELL Soup Company, PREGO Pasta, Chunky Garden Mushroom Supreme Italian Sauce, ready-to-serve	Soups, Sauces, and Gravies	1.54	0	0.354	2.3	0.0018	0.354	10	7.69	2.31	78.8	69	0.385	0.385	1.154	28935
CAMPBELL Soup company, CAMPBELL'S Low Sodium Soups, Chicken with Noodles Soup	Soups, Sauces, and Gravies	3.93	0.007	0.046	0.7	0	0.161	5.57	1.31	1.48	88.8	52	0.492	0.656	0.328	28959
Gravy, HEINZ Home Style Savory Beef Gravy	Soups, Sauces, and Gravies	1.09	0.006	0.587	0.7	0	0.022	6.24	0.52	1.13	89.97	39	0.4	0.432	0.046	28962
Gravy, beef, canned, ready-to-serve	Soups, Sauces, and Gravies	3.75	0.006	0.56	0.4	0	0.081	4.81	0.21	2.36	87.48	53	1.153	0.962	0.08	28965
Gravy, brown instant, dry	Soups, Sauces, and Gravies	8.53	0.116	5.053	3.2	0.0019	0.367	59.78	9.23	11.85	5.51	380	5.866	5.488	0.499	28966
Gravy, chicken, canned, ready-to-serve	Soups, Sauces, and Gravies	1.93	0.02	0.424	0.4	0	0.109	5.42	0.78	5.71	85.34	79	1.41	2.55	1.5	28968
Gravy, instant beef, dry	Soups, Sauces, and Gravies	9.8	0.141	5.203	4.3	0.0009	0.45	61.1	23.9	9.48	4.65	369	4.88	3.659	0.938	28970
Gravy, instant turkey, dry	Soups, Sauces, and Gravies	11.72	0.115	4.09	3.8	0.0009	0.306	57.56	7.6	14.66	5.24	409	4.931	5.25	4.478	28971
Gravy, meat or poultry, low sodium, prepared	Soups, Sauces, and Gravies	3.8	0.006	0.018	0.3	0	0.081	6.16	0.01	2.4	87.5	53	1.003	1.068	0.095	28972
Gravy, mushroom, dry, powder	Soups, Sauces, and Gravies	10	0.23	6.58	4.8	0.007	0.262	64.66	3.26	4	3.34	328	2.36	1.31	0.14	28974
Gravy, pork, dry, powder	Soups, Sauces, and Gravies	8.78	0.139	5.356	2.4	0.0014	0.235	63.57	24.73	8.63	4.43	367	4.29	3.881	0.454	28976
Gravy, turkey, canned, ready-to-serve	Soups, Sauces, and Gravies	2.6	0.004	0.577	0.4	0	0.109	5.1	0.21	2.1	88.6	51	0.62	0.9	0.49	28977
Potato soup, instant, dry mix	Soups, Sauces, and Gravies	9.2	0.172	0.612	7.6	0.016	1.248	76.14	10	3.1	5.8	343	0.613	1.185	1.025	28980
Sauce, alfredo mix, dry	Soups, Sauces, and Gravies	15.32	0.467	2.59	2	0	0.254	36.52	5.4	36.35	2.05	535	13.18	13.669	8.61	28981
Sauce, cheese sauce mix, dry	Soups, Sauces, and Gravies	7.68	0.204	3.202	1	0.0009	0.428	60.52	10.26	18.33	3.78	438	8.44	6.868	0.983	28984
Sauce, cheese, dry, powder	Soups, Sauces, and Gravies	22.69	0.795	3.712	1.1	0.001	0.519	33.66	25.13	25.44	4.09	448	12.05	8.44	3.66	28985
Sauce, cheese, ready-to-serve	Soups, Sauces, and Gravies	6.71	0.184	0.828	0.5	0.0004	0.03	6.83	0.42	13.29	70.5	174	6.01	3.823	2.599	28986
Sauce, chili, peppers, hot, immature green, canned	Soups, Sauces, and Gravies	0.7	0.005	0.025	1.9	0.068	0.564	5	2.55	0.1	93.9	20	0.013	0.068	0.012	28987
Sauce, hoisin, ready-to-serve	Soups, Sauces, and Gravies	3.31	0.032	1.615	2.8	0.0004	0.119	44.08	27.26	3.39	44.23	220	0.568	0.963	1.698	28989
Sauce, homemade, white, medium	Soups, Sauces, and Gravies	3.84	0.118	0.354	0.2	0.0008	0.156	9.17	4.38	10.63	74.89	147	2.854	4.42	2.862	28990
Sauce, homemade, white, thick	Soups, Sauces, and Gravies	3.99	0.111	0.373	0.3	0.0007	0.149	11.61	3.98	13.83	69.1	186	3.416	5.851	3.914	28991
Sauce, homemade, white, thin	Soups, Sauces, and Gravies	3.77	0.126	0.328	0.1	0.0008	0.163	7.4	4.78	6.73	80.66	105	2.152	2.67	1.586	28992
Sauce, pasta, spaghetti/marinara, ready-to-serve	Soups, Sauces, and Gravies	1.78	0.022	0.41	2.6	0.002	0.316	13.76	8.84	2.69	80.01	87	0.699	0.589	1.184	28995
